Id,Sentence,Category
2,where can i locate the show the return of mr moto,SearchCreativeWork
3,is there a game called the neutral zone,SearchCreativeWork
7,i d like to see the picture teleform,SearchCreativeWork
14,find attack surface analyzer a painting,SearchCreativeWork
25,show the immortal grand prix,SearchCreativeWork
30,has the tv series puppet master: axis of evil been cancelled,SearchCreativeWork
51,show the day the earth caught fire movie,SearchCreativeWork
53,can i hear the song american high,SearchCreativeWork
67,find the saga a very school gyrls holla-day,SearchCreativeWork
87,find the news at seven-thirty photograph,SearchCreativeWork
91,please search cardin in australia saga,SearchCreativeWork
99,i d like to watch the trailer for as tears go by,SearchCreativeWork
104,find a painting called thunder in the sky,SearchCreativeWork
109,find saison 7 de sons of anarchy,SearchCreativeWork
112,show me the show goldimouse and the three cats,SearchCreativeWork
122,search for the game the last horror movie,SearchCreativeWork
131,find the video game the tomb,SearchCreativeWork
137,can you find the movie accidentally in love,SearchCreativeWork
144,look for the american journal of sociology,SearchCreativeWork
148,looking for the painting last flight to abuja,SearchCreativeWork
150,show me the photograph of minutes to midnight,SearchCreativeWork
152,show me the movie sonic triple trouble,SearchCreativeWork
153,find a painting called break down,SearchCreativeWork
154,find me the tv show ask a woman who knows,SearchCreativeWork
158,i m looking for a novel called the adventures of lolo ii,SearchCreativeWork
181,find i could fall in love,SearchCreativeWork
183,find the photograph among the living,SearchCreativeWork
201,find a novel called best hits live: save the children speed live 2003,SearchCreativeWork
211,find projections an album,SearchCreativeWork
221,find casting crowns discography,SearchCreativeWork
223,get me a johnny cool photograph,SearchCreativeWork
226,what is the current selling price of the novel the sims 3: island paradise,SearchCreativeWork
232,please search for all the lovers trailer,SearchCreativeWork
238,find once upon a time in the west,SearchCreativeWork
249,can i see the boat people,SearchCreativeWork
253,find the novel peace arch news,SearchCreativeWork
276,find the black girl in search of god trailer,SearchCreativeWork
277,where can i see the trailer of take me to the king,SearchCreativeWork
